30 30
 0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       
 1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73     1.73    
 3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46     3.46    
 5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2      5.2     
 6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93     6.93    
 8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66     8.66    
 10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4     10.4    
 12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1     12.1    
 13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9     13.9    
 15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6     15.6    
 17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3     17.3    
 19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1     19.1    
 20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8     20.8    
 22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5     22.5    
 24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2     24.2    
 26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26       26      
