10 10
 1.5      1.5      1.5      1.5      1.5      1.5      1.5      1.5      1.5      1.5     
 6.7      6.7      6.7      6.7      6.7      6.7      6.7      6.7      6.7      6.7     
 11.9     11.9     11.9     11.9     11.9     11.9     11.9     11.9     11.9     11.9    
 17.1     17.1     17.1     17.1     17.1     17.1     17.1     17.1     17.1     17.1    
 22.3     22.3     22.3     22.3     22.3     22.3     22.3     22.3     22.3     22.3    
 27.5     27.5     27.5     27.5     27.5     27.5     27.5     27.5     27.5     27.5    
 32.7     32.7     32.7     32.7     32.7     32.7     32.7     32.7     32.7     32.7    
 37.9     37.9     37.9     37.9     37.9     37.9     37.9     37.9     37.9     37.9    
 43.1     43.1     43.1     43.1     43.1     43.1     43.1     43.1     43.1     43.1    
 48.3     48.3     48.3     48.3     48.3     48.3     48.3     48.3     48.3     48.3    
