31 29
 -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866   -0.866  
 0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866    0.866   
 2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6      2.6     
 4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33     4.33    
 6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06     6.06    
 7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79     7.79    
 9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53     9.53    
 11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3     11.3    
 13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13       13      
 14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7     14.7    
 16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5     16.5    
 18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2     18.2    
 19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9     19.9    
 21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7     21.7    
 23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4     23.4    
 25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1     25.1    
 26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8     26.8    
 28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6     28.6    
 30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3     30.3    
 32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32       32      
