31 29
 33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8     33.8    
 35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5     35.5    
 37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2     37.2    
 39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39       39      
 40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7     40.7    
 42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4     42.4    
 44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2     44.2    
 45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9     45.9    
 47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6     47.6    
 49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4     49.4    
 51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1     51.1    
